Symbol,Company Name,Security Type,Security Price,Market Capitalization,Revenue (TTM),Sector,Industry,Sub-Industry,Company Headquarters Location
UGI,UGI Corp,Common Stock,25,$5.45B,7126.8,Utilities,Gas Utilities,Gas Utilities,United States of America
AVY,Avery Dennison Corp,Common Stock,93.61,$7.99B,7070.1,Materials,Containers & Packaging,Paper Packaging,United States of America
BECN,Beacon Roofing Supply Inc,Common Stock,13.31,$1.03B,7058.596,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
HBI,Hanesbrands Inc,Common Stock,7.17,$2.63B,6966.923,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",United States of America
PKG,Packaging Corp Of America,Common Stock,80.51,$7.95B,6964.3,Materials,Containers & Packaging,Paper Packaging,United States of America
MTB,M&T Bank Corp,Common Stock,91.67,$12.50B,6941.272,Financials,Banks,Regional Banks,United States of America
NCR,NCR Corp,Common Stock,18.19,$2.34B,6915,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",United States of America
NTRS,Northern Trust Corp,Common Stock,77.03,$16.13B,6895.1,Financials,Capital Markets,Asset Management & Custody Banks,United States of America
CMS,CMS Energy Corp,Common Stock,54.55,$16.14B,6845,Utilities,Multi-Utilities,Multi-Utilities,United States of America
SEB,Seaboard Corp,Common Stock,2744.36,$3.18B,6840,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
CQP,Cheniere Energy Partners LP,Unit Trust Fund,27.55,$13.55B,6838,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
HUN,Huntsman Corp,Common Stock,12.93,$2.98B,6797,Materials,Chemicals,Diversified Chemicals,United States of America
PII,Polaris Inc,Common Stock,39,$2.75B,6782.518,Consumer Discretionary,Leisure Products,Leisure Products,United States of America
RF,Regions Financial Corp,Common Stock,8.07,$8.03B,6755,Financials,Banks,Regional Banks,United States of America
ROK,Rockwell Automation Inc.,Common Stock,146.78,$17.39B,6737,Industrials,Electrical Equipment,Electrical Components & Equipment,United States of America
AMD,Advanced Micro Devices Inc,Common Stock,42.59,$52.05B,6731,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America
OVV,Ovintiv Inc,Common Stock,3.43,$820.97M,6726,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,United States of America
MAS,Masco Corp,Common Stock,32.41,$9.10B,6707,Industrials,Building Products,Building Products,United States of America
OI,O-I Glass Inc,Common Stock,5.62,$1.07B,6703,Materials,Containers & Packaging,Metal & Glass Containers,United States of America
SPGI,S&P Global Inc,Common Stock,238.8,$58.89B,6699,Financials,Capital Markets,Financial Exchanges & Data,United States of America
WYNN,Wynn Resorts Ltd,Common Stock,48.44,$5.65B,6611.099,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,United States of America
WY,Weyerhaeuser Co,Common Stock (REIT),15.34,$11.81B,6554,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,United States of America
BHF,Brighthouse Financial Inc,Common Stock,19.63,$2.16B,6554,Financials,Insurance,Life & Health Insurance,United States of America
ICE,Intercontinental Exchange Inc,Common Stock,80.99,$44.95B,6547,Financials,Capital Markets,Financial Exchanges & Data,United States of America
AXL,American Axle & Manufacturing Holdings Inc,Common Stock,2.74,$363.70M,6530.9,Consumer Discretionary,Auto Components,Auto Parts & Equipment,United States of America
ABM,ABM Industries Inc,Common Stock,22.78,$1.62B,6503.6,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,United States of America
HES,Hess Corp,Common Stock,33.52,$10.76B,6495,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,United States of America
ATVI,Activision Blizzard Inc,Common Stock,59.98,$46.73B,6489,Communication Services,Entertainment,Interactive Home Entertainment,United States of America
GME,GameStop Corp.,Common Stock,2.8,$183.26M,6466,Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,United States of America
NCLH,Norwegian Cruise Line Holdings Ltd,Common Stock,8.46,$1.79B,6462.376,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",United States of America
RL,Ralph Lauren Corp,Common Stock,61,$4.86B,6391.4,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",United States of America
SAIC,Science Applications International Corp,Common Stock,71.3,$4.28B,6379,Information Technology,IT Services,IT Consulting & Other Services,United States of America
CVI,CVR Energy Inc,Common Stock,14.28,$1.46B,6364,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,United States of America
DDS,Dillard's Inc.,Common Stock,23.87,$600.21M,6347.9,Consumer Discretionary,Multiline Retail,Department Stores,United States of America
AGR,Avangrid Inc,Common Stock,39.89,$13.11B,6338,Utilities,Electric Utilities,Electric Utilities,United States of America
CE,Celanese Corp,Common Stock,67.1,$8.20B,6297,Materials,Chemicals,Specialty Chemicals,United States of America
APA,Apache Corp,Common Stock,5.38,$1.76B,6280,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,United States of America
RRD,R.R. Donnelley & Sons Co,Common Stock,0.9198,$71.61M,6276.2,Industrials,Commercial Services & Supplies,Commercial Printing,United States of America
ZTS,Zoetis Inc,Common Stock,114.61,$55.18B,6276,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
DVN,Devon Energy Corp,Common Stock,8.38,$2.98B,6220,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,United States of America
INGR,Ingredion Inc,Common Stock,76.21,$5.15B,6209,Consumer Staples,Food Products,Agricultural Products,United States of America
HDS,HD Supply Holdings Inc,Common Stock,25.68,$4.27B,6207,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
FAF,First American Financial Corp,Common Stock,39.81,$4.62B,6202.061,Financials,Insurance,Property & Casualty Insurance,United States of America
GPK,Graphic Packaging Holding Co,Common Stock,11.4,$3.54B,6160.1,Materials,Containers & Packaging,Paper Packaging,United States of America
CLX,Clorox Co (The),Common Stock,177.54,$22.47B,6133,Consumer Staples,Household Products,Household Products,United States of America
SPG,Simon Property Group Inc.,Common Stock (REIT),46.72,$13.51B,6121.038,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,United States of America
IVZ,Invesco Ltd,Common Stock,7.81,$3.73B,6117.4,Financials,Capital Markets,Asset Management & Custody Banks,United States of America
TA,TravelCenters Of America Inc,Common Stock,7.99,$72.52M,6117.359,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
OLN,Olin Corp,Common Stock,11.61,$1.80B,6110,Materials,Chemicals,Commodity Chemicals,United States of America
RHI,Robert Half International Inc.,Common Stock,37.97,$4.35B,6074.432,Industrials,Professional Services,Human Resource & Employment Services,United States of America
ENLC,Enlink Midstream LLC,Unit Trust Fund,1.09,$526.82M,6052.9,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
AVTR,Avantor Inc,Common Stock,12.18,$7.08B,6040.3,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,United States of America
TPR,Tapestry Inc,Common Stock,11.09,$3.04B,6019,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",United States of America
AEE,Ameren Corp,Common Stock,68.75,$17.65B,5910,Utilities,Multi-Utilities,Multi-Utilities,United States of America
WSM,Williams-Sonoma Inc.,Common Stock,38.19,$2.94B,5898.008,Consumer Discretionary,Specialty Retail,Homefurnishing Retail,United States of America
CMC,Commercial Metals Co,Common Stock,14.63,$1.87B,5874.548,Materials,Metals & Mining,Steel,United States of America
RUSHA,Rush Enterprises Inc,Common Stock,28.93,$1.08B,5809.847,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
RUSHB,Rush Enterprises Inc,Common Stock,26.5,$1.02B,5809.847,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
AMTD,TD AMERITRADE Holding Corp,Common Stock,34.81,$19.25B,5791,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
